id,experiment_id,is_map,image_url,commons_url,map_ne_lng,map_sw_lng,map_ne_lat,map_sw_lat,map_annotations_count,label,avg_rank,new feature,median_rank,rank_var,avg_normalized_rank,normalized_rank_var,avg_validation_question_correct,avg_rank_validated,rank_validated_var,avg_normalized_rank_validated,normalized_rank_validated_var,generation_method,generation_score,article_title_2_text_esa,caption_2_text_esa,locations_2_article_text_esa,max_locations_2_article_text_esa,avg_locations_2_article_text_esa,median_locations_2_article_text_esa,max_article_title_2_article_text_esa,avg_article_title_2_article_text_esa,median_article_title_2_article_text_esa
14,14-4,0,https://upload.wikimedia.org/wikipedia/commons/4/44/Intel_Inside_Logo.svg,https://commons.wikimedia.org/wiki/File:Intel_Inside_Logo.svg,,,,,,0,1,0.530330086,0.5,1.5,0.333333333,0.166666667,1,1,1.5,1,1.5,all,0.360054054,0.987244326,0.978605008,,,,,0.987244326,0.987244326,0.987244326
19,19-10,0,https://upload.wikimedia.org/wikipedia/commons/f/fd/WWDR4_Water_scarcity.PNG,https://commons.wikimedia.org/wiki/File:WWDR4_Water_scarcity.PNG,,,,,,0,0.5,0.655443365,0,0.75,0.166666667,0.083333333,1,0.5,0.75,0.5,0.75,all,0.070289276,0.915587448,0.915600188,,,,,0.915587448,0.915587448,0.915587448
32,32-2,0,https://upload.wikimedia.org/wikipedia/commons/4/44/Intel_Inside_Logo.svg,https://commons.wikimedia.org/wiki/File:Intel_Inside_Logo.svg,,,,,,0,0.5,0.75,0.5,0.25,0.166666667,0.027777778,1,0.5,0.25,0.5,0.25,all,0.253071253,0.909195214,0.914603053,,,,,0.909195214,0.909195214,0.909195214
10,10/9/16,0,https://upload.wikimedia.org/wikipedia/commons/5/54/SyrianNationalCoalitionOfficialLogo.svg,https://commons.wikimedia.org/wiki/File:SyrianNationalCoalitionOfficialLogo.svg,,,,,,0,0,0.417963803,0,0,0,0,1,0,0,0,0,all,0.060111307,0.990761158,0.994844971,,,,,0.994824391,0.936301791,0.976831118
13,13-13,0,https://upload.wikimedia.org/wikipedia/commons/9/95/Family_Tree_of_Ra%C3%BAl_Castro.jpg,https://commons.wikimedia.org/wiki/File:Family_Tree_of_Ra%C3%BAl_Castro.jpg,,,,,,0,1.5,0.3324252,1.5,1.25,0.5,0.138888889,1,1.5,1.25,1.5,1.25,all,0.035857115,0.941095722,0.918744597,,,,,,,
40,40-4,0,https://upload.wikimedia.org/wikipedia/commons/8/81/NYSE_Euronext_logo.png,https://commons.wikimedia.org/wiki/File:NYSE_Euronext_logo.png,,,,,,0,0.25,0.322502133,0,0.1875,0.083333333,0.020833333,0.75,0,0,0,0,all,0.672455706,0.428381403,0.451109475,,,,,0.428381403,0.428381403,0.428381403
2,2/6/16,0,https://upload.wikimedia.org/wikipedia/commons/0/05/LDS_Global_Distribution.svg,https://commons.wikimedia.org/wiki/File:LDS_Global_Distribution.svg,,,,,,0,0.333333333,0.320302092,0,0.555555556,0.111111111,0.061728395,1,0.333333333,0.555555556,0.333333333,0.555555556,all,0.173131133,0.954343861,0.954735337,,,,,0.954343861,0.954343861,0.954343861
5,5/8/16,0,https://upload.wikimedia.org/wikipedia/commons/2/2d/Map_of_the_USA_highlighting_Greater_Houston.gif,https://commons.wikimedia.org/wiki/File:Map_of_the_USA_highlighting_Greater_Houston.gif,,,,,,0,0.5,0.306069414,0,0.75,0.166666667,0.083333333,0.75,0.666666667,0.888888889,0.666666667,0.888888889,all,0.571720324,0.919474201,0.914554175,,,,,0.919474201,0.919474201,0.919474201
5,5/12/16,0,https://upload.wikimedia.org/wikipedia/commons/7/72/Ashburn%27s_Houston_City_Map.jpg,https://commons.wikimedia.org/wiki/File:Ashburn%27s_Houston_City_Map.jpg,,,,,,0,0.75,0.300607362,0.5,0.6875,0.25,0.076388889,0.75,0.666666667,0.888888889,0.666666667,0.888888889,all,0.156514965,0.886688542,0.948993411,,,,,,,
1,1/13/16,0,https://upload.wikimedia.org/wikipedia/commons/8/81/Vaccine.png,https://commons.wikimedia.org/wiki/File:Vaccine.png,,,,,,0,0.833333333,0.298011516,1,0.472222222,0.277777778,0.052469136,0.833333333,0.6,0.24,0.6,0.24,all,0.198827831,0.995560682,0.995560682,,,,,0.995560682,0.995560682,0.995560682